EIS Number,Title,Title Link,Document,EPA Comment Letter Date,Federal Register Date,EIS Comment Due/Review Period Due,Agency,State,Download Documents,Document Link,Contact Name,Contact Phone
20180084,Northwest Colorado Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249029,Draft,,5/4/18,8/2/18,Bureau of Land Management,CO,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249029,Bridget Clayton,970-244-3045
20180083,Idaho Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249034,Draft,,5/4/18,8/2/18,Bureau of Land Management,ID,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249034,Jonathan Beck,208-373-3841
20180082,Oregon Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249045,Draft,,5/4/18,8/2/18,Bureau of Land Management,OR,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249045,Jim Regan-Vienop,503-808-6062
20180081,Utah Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249060,Draft,,5/4/18,8/2/18,Bureau of Land Management,UT,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249060,Quincy Bahr,801-539-4122
20180080,Wyoming Greater Sage-Grouse Draft Resource Management Plan Amendment and Environmental Impact Statement,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249065,Draft,,5/4/18,8/2/18,Bureau of Land Management,WY,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249065,Jennifer Fleuret,307-775-6329
20180079,Prince of Wales Landscape Level Analysis Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249177,Draft,,5/4/18,6/18/18,Forest Service,AK,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249177,Delilah Brigham,907-828-3232
20180078,Oakhill Parkway,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249129,Draft,,5/4/18,6/18/18,Texas Department of Transportation,TX,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249129,Carlos Swonke,512-416-2734
20180077,Olympic National Park Mountain Goat Management Plan,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249116,Final,,5/4/18,6/4/18,National Park Service,WA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249116,Christina Miller,360-565-3004
20180076,Shawnee Fossil Plant Coal Combustion Residual Management,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=249107,Draft Supplement,,5/4/18,6/18/18,Tennessee Valley Authority,KY,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=249107,Ashley Pilakowski,865-632-2256
20180075,Pure Water San Diego Program North City Project,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=248425,Final,,5/4/18,6/4/18,Bureau of Reclamation,CA,Download EIS,https://cdxnodengn.epa.gov/cdx-enepa-II/public/action/eis/details/downloadEisDocuments?eisId=248425,Doug McPherson,(951) 695-5310
